project,project_name,project_class,location,latitude,longitude,jitter,icon,image_name,image,image_large
AMT 22,Atlantic Meridional Transect 2012,ship,Atlantic Ocean,-20.16,-24.51,FALSE,icon_information_green,AMT 22,AMT22_resized.png,AMT22.png
AMT 22,Atlantic Meridional Transect 2012,ship,Atlantic Ocean,-20.16,-24.61,FALSE,icon_boat,AMT 22,AMT22_Sina and instrument_resized.jpg,AMT22_Sina and instrument.jpg
AMT 22,Atlantic Meridional Transect 2012,ship,Atlantic Ocean,-20.16,-24.41,FALSE,icon_boat,AMT 22,AMT23_aerosol samplers_resized.jpg,AMT23_aerosol samplers.jpg
AMT 22,Atlantic Meridional Transect 2012,ship,Atlantic Ocean,-20.0790983,-24.56877853,FALSE,icon_boat,AMT 22,CTD from above_resized.jpg,CTD from above.jpg
AMT 22,Atlantic Meridional Transect 2012,ship,Atlantic Ocean,-20.0790983,-24.45122147,FALSE,icon_boat,AMT 22,CTD_resized.jpg,CTD.jpg
AMT 22,Atlantic Meridional Transect 2012,ship,Atlantic Ocean,-20.26,-24.51,FALSE,icon_boat,AMT 22,JCR_waves_resized.jpg,JCR_waves.jpg
,Bachok Demonstration International Opportunities Fund,ground,Bachok Malaysia,6.008855,102.4304,FALSE,icon_information_green,Bachok,Bachok_resized.png,Bachok.png
,Bachok Demonstration International Opportunities Fund,ground,Bachok Malaysia,6.008855,102.3304,FALSE,icon_flag,Bachok,bachok_fire_resized.jpg,bachok_fire.jpg
,Bachok Demonstration International Opportunities Fund,ground,Bachok Malaysia,6.008855,102.5304,FALSE,icon_flag,Bachok,bachok_monkey_resized.jpg,bachok_monkey.jpg
,Bachok Demonstration International Opportunities Fund,ground,Bachok Malaysia,6.108855,102.4304,FALSE,icon_flag,Bachok,bachok_people_resized.jpg,bachok_people.jpg
BORTAS,Quantifying the impact of boreal forest fires on Tropospheric oxidants,aircraft,Halifax Nova Scotia Canada,44.838215,-63.349246,FALSE,icon_information_green,BORTAS,BORTAS_resized.png,BORTAS.png
